primary_id,paxdb_ppm
Q15046,95.0
Q15257,94.5
P98179,94.2
Q00765,93.6
Q14165,93.4
A0A087X1N8,93.3
P43121,93.2
P10321,93.2
O43399,93.0
O00159,92.7
P14550,92.7
P08621,92.6
P11226,92.6
Q02978,92.5
P42765,92.5
O15533,92.3
A0A0A0MSV9,92.3
P04233,92.3
P43490,92.2
P31153,92.1
Q15149,92.0
Q02747,91.7
P03951,91.7
Q9UKM9,91.5
Q9Y3I0,91.5
H7C0C1,91.0
P35998,90.9
O00244,90.8
Q15843,90.7
O94760,90.7
P56134,90.5
Q92522,90.2
P53597,90.1
Q15382,90.1
Q9NZD4,89.9
Q96AE4,89.7
Q13526,89.7
Q9BSJ8,89.6
O15347,89.4
P08754,89.1
J3KNB4,89.1
P17174,89.0
P38606,89.0
P06493,88.9
O14737,88.8
Q86VP6,88.7
P20810,88.6
P07814,88.4
Q9Y5S9,88.3
Q9UKY7,87.9
P09012,87.6
O75369,87.5
Q71UM5,87.5
G3XAK1,87.5
P08574,87.3
Q16658,87.1
Q9UNM6,87.1
O00487,86.8
O00410,86.5
P43304,86.2
P23229,86.2
P41091,86.0
Q14247,85.9
P40261,85.7
P08195,85.7
O43768,85.5
Q9UHD8,85.5
P02810,85.4
Q9NVA2,85.3
O43633,84.9
Q03252,84.8
K7ESF4,84.4
P48426,84.2
P12259,84.0
P30085,83.8
P50238,83.8
Q8WUW1,83.8
Q9NUQ9,83.7
P18054,83.6
P63218,83.3
Q04637,83.3
Q70J99,83.3
Q6IBS0,83.0
Q9Y285,82.9
Q9UK55,82.7
P28325,82.4
A0A1B0GU03,82.4
P17066,82.3
Q16630,82.2
P16615,82.0
Q9NZ45,81.9
P13533,81.9
P31323,81.8
P55884,81.1
P12273,81.1
Q15631,80.9
P35659,80.5
O60493,80.4
P61086,80.0
O43665,79.8
P42166,79.6
P61758,79.3
Q7Z794,79.3
Q01844,79.3
P45379,79.1
A0A087WZN1,79.1
Q9UHD1,79.0
Q9Y2Q3,78.9
P33992,78.9
P31689,78.8
P23368,78.8
Q9H1E3,78.6
P15259,78.6
Q12931,78.5
Q9HDC9,78.5
Q5SSJ5,78.5
P61923,78.4
Q13576,78.2
O75608,78.2
P07315,78.1
O43242,78.0
P14060,77.6
P47985,77.6
P33241,77.6
P38159,77.5
P05114,77.5
P62633,77.2
P04180,77.1
Q9UHX1,77.1
A0A1B0GUS4,77.1
A0A5H1ZRQ2,77.0
P22102,76.9
O43396,76.9
Q9H2U2,76.8
P0CG39,76.8
P49588,76.7
Q9Y613,76.6
Q12907,76.5
A0A8C8KIA0,76.5
Q9Y6C9,76.4
Q13228,75.9
Q99471,75.8
Q8TC12,75.6
P53621,75.5
Q15435,75.5
P60201,75.5
P54136,75.4
O95433,75.2
P41240,75.1
Q9HAV0,75.0
Q9Y678,75.0
P09661,74.9
P00995,74.7
P13716,74.7
O96000,74.5
P53673,74.4
Q9C037,74.3
Q12797,74.3
P18754,74.3
Q9UHV9,74.2
P20591,74.1
Q15008,74.1
Q92520,73.8
P17858,73.7
P19957,73.6
P53004,73.6
Q9UL25,73.5
Q13200,73.4
P07327,73.0
P10606,73.0
P24666,73.0
O75563,72.9
Q16695,72.8
P36543,72.6
O15260,72.5
O75475,72.4
P05023,72.3
P48444,72.1
P0DP08,72.0
O14745,71.7
A0A4W8X8U3,71.6
Q9Y262,71.6
O43765,71.4
P60033,71.4
O75937,71.3
E7EX17,71.2
Q8WZA0,71.1
Q14498,71.0
P00352,70.9
O75112,70.9
P53618,70.9
Q9UBI6,70.7
Q13103,70.7
Q8IZP0,70.6
Q13423,70.6
Q92598,70.6
Q96QK1,70.5
Q00013,70.3
P53990,70.3
P41567,70.3
Q8N0Y7,70.1
Q86UD1,70.1
O75489,70.1
O95865,70.1
Q9Y624,70.0
Q9H9B4,70.0
A0A0B4J2A2,70.0
Q15637,69.9
Q15828,69.7
P20340,69.7
P08729,69.7
P16435,69.5
P19429,69.5
O43143,69.5
O00154,69.4
Q96FW1,69.3
A0A0A0MQS7,69.3
Q13442,69.2
Q9NX40,69.1
A0A087WV42,69.0
P12724,68.7
P62191,68.6
Q96CN7,68.6
Q9Y3B4,68.4
P60228,68.3
Q1KMD3,68.3
A0A7P0MQS5,68.1
P21926,68.0
P05362,68.0
Q969G5,68.0
Q9UI15,68.0
P84095,67.9
P49736,67.8
P68402,67.6
P67870,67.5
A1L0T0,67.3
P20042,67.0
Q9NR45,67.0
Q9BV40,66.9
P06732,66.8
Q96L21,66.7
H3BN98,66.6
O00483,66.6
O75821,66.6
P16989,66.6
P14923,66.4
Q7Z4W1,66.3
Q9Y2Q5,66.2
P50402,66.2
Q9H223,66.2
Q8TAA3,66.0
C9JVQ0,65.9
Q13243,65.9
Q96C19,65.8
Q15029,65.7
P62495,65.7
O76021,65.7
P25325,65.7
F5H284,65.4
A0A075B759,65.4
P0DN26,65.4
O75494,65.4
Q9UBE0,65.2
Q9H4X1,65.0
Q96S96,64.9
P08590,64.9
P21810,64.8
Q9BRA2,64.7
P33993,64.7
Q15836,64.6
Q9UMX5,64.6
Q16531,64.5
P42574,64.4
O75340,64.3
O95678,64.2
P19013,64.2
Q9Y5Y7,64.1
Q15121,64.1
P21281,64.0
O00193,63.9
P31937,63.9
Q14315,63.8
O14561,63.8
P27816,63.7
P21266,63.6
Q9BQE5,63.3
P54725,63.3
Q9Y2X3,63.2
P54886,63.2
Q07065,63.1
O75131,63.1
P62330,62.9
P33121,62.9
Q13148,62.9
Q7L1Q6,62.9
O60828,62.8
P11836,62.7
Q9HAV7,62.7
P12081,62.6
P0DPA2,62.6
Q16740,62.6
P48637,62.4
U3KQV3,62.2
P15924,62.2
O76070,62.1
P05108,62.0
P11511,62.0
P01137,62.0
A0A499FJK2,62.0
H0UI06,62.0
O15355,61.9
P60985,61.8
O00232,61.8
P36959,61.8
Q14533,61.7
Q9ULC4,61.7
Q13510,61.6
P09960,61.5
P55854,61.3
Q53GQ0,61.2
P26439,61.1
A0A804CDA6,61.0
Q99460,61.0
Q99719,60.9
Q8TF42,60.8
P14927,60.7
Q9Y5L4,60.6
Q9H479,60.6
Q8IUC1,60.6
P55010,60.5
Q9NY33,60.5
P55268,60.5
Q15363,60.5
Q9BX68,60.3
Q8WU39,60.3
Q9BRX8,60.3
P54709,60.1
Q9BXS5,59.9
P62995,59.9
P61225,59.8
Q96HE7,59.8
P15374,59.8
P14543,59.7
Q9BPW8,59.5
P78527,59.5
Q14766,59.4
P15927,59.4
Q14257,59.4
P40306,59.3
O60739,59.3
O95866,59.1
Q9Y6Q1,59.1
Q14764,59.1
P61081,59.0
O95372,59.0
O76074,59.0
Q9Y376,59.0
Q8NE71,58.7
Q07654,58.6
Q01081,58.6
P61221,58.4
Q9NZT1,58.4
P55327,58.3
O00567,58.3
Q9UHQ9,58.3
P05813,58.2
P49419,58.2
O95881,58.1
Q9Y536,57.8
F8VXU5,57.8
P41252,57.8
O43678,57.7
Q9BVK6,57.7
P04216,57.7
A0A075B767,57.6
Q6EMK4,57.3
Q9NQW7,57.3
Q7L2H7,57.1
P28065,57.0
P15814,56.9
O75533,56.9
Q96FJ2,56.9
O95379,56.8
O15371,56.8
P35606,56.8
P78347,56.8
O60716,56.6
Q9UBQ5,56.6
O43920,56.5
P07948,56.4
P21695,56.2
P49189,56.2
Q15847,56.1
Q12805,55.8
Q13435,55.8
P28062,55.7
Q6IAA8,55.6
P34096,55.6
Q9Y2B0,55.6
P26196,55.5
Q9P2E9,55.5
P10451,55.4
Q9NR30,55.4
P98160,55.3
P02008,55.0
P33991,55.0
P55083,55.0
Q96PK6,55.0
Q9NQP4,55.0
P11166,54.9
Q13310,54.9
