Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity Strap_1	LFQ intensity Strap_2	LFQ intensity Strap_3
O14925;Q5SRD1	O14925;Q5SRD1	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23;Putative mitochondrial import inner membrane translocase subunit Tim23B	sp|O14925|TIM23_HUMAN Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens OX=9606 GN=TIMM23 PE=1 SV=1;sp|Q5SRD1|TI23B_HUMAN Putative mitochondrial import inner membrane translocase subunit Tim23B OS=Homo sapiens OX=9606 GN=TIMM23B				50019000.0		
O14929;O14929-2	O14929;O14929-2	HAT1	Histone acetyltransferase type B catalytic subunit	sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=1;sp|O14929-2|HAT1_HUMAN Isoform B of Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1				160950000.0	110210000.0	121620000.0
O14949	O14949	UQCRQ	Cytochrome b-c1 complex subunit 8	sp|O14949|QCR8_HUMAN Cytochrome b-c1 complex subunit 8 OS=Homo sapiens OX=9606 GN=UQCRQ PE=1 SV=4						
P19105;O14950;P24844;P24844-2	P19105;O14950;P24844	MYL12A;MYL12B;MYL9	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9	sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2;sp|P24844|MYL9_HUMAN Myosin regulatory light polypeptide					104010000.0	63047000.0
O14957	O14957	UQCR11	Cytochrome b-c1 complex subunit 10	sp|O14957|QCR10_HUMAN Cytochrome b-c1 complex subunit 10 OS=Homo sapiens OX=9606 GN=UQCR11 PE=1 SV=1						
O14964;O14964-2	O14964;O14964-2	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	sp|O14964|HGS_HUMAN Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=1;sp|O14964-2|HGS_HUMAN Isoform 2 of Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS						
O14974-5;O14974;O14974-4;O14974-2;O14974-3	O14974-5;O14974;O14974-4;O14974-2;O14974-3	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	sp|O14974-5|MYPT1_HUMAN Isoform 5 of Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A;sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1;sp|O14974-4|MYPT1_HUMAN I						39215000.0
O14979-3;O14979-2;O14979	O14979-3;O14979-2;O14979	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	sp|O14979-3|HNRDL_HUMAN Isoform 3 of Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL;sp|O14979-2|HNRDL_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL;sp|O14979|HNRDL_HU				369060000.0	354940000.0	476080000.0
O14980	O14980	XPO1	Exportin-1	sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1				99208000.0	95989000.0	116190000.0
O14981	O14981	BTAF1	TATA-binding protein-associated factor 172	sp|O14981|BTAF1_HUMAN TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=2						
O15020-2;O15020	O15020-2;O15020	SPTBN2	Spectrin beta chain, non-erythrocytic 2	sp|O15020-2|SPTN2_HUMAN Isoform 2 of Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2;sp|O15020|SPTN2_HUMAN Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3						
O15027-2;O15027-4;O15027-3;O15027;O15027-5	O15027-2;O15027-4;O15027-3;O15027;O15027-5	SEC16A	Protein transport protein Sec16A	sp|O15027-2|SC16A_HUMAN Isoform 2 of Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A;sp|O15027-4|SC16A_HUMAN Isoform 4 of Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A;sp|O15027-3|SC16A_HUMAN Isoform 3 of Protein tra					19148000.0	
O15031	O15031	PLXNB2	Plexin-B2	sp|O15031|PLXB2_HUMAN Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3						
O15042;O15042-2;O15042-3	O15042;O15042-2;O15042-3	U2SURP	U2 snRNP-associated SURP motif-containing protein	sp|O15042|SR140_HUMAN U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2;sp|O15042-2|SR140_HUMAN Isoform 2 of U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP;sp|O15042-3|SR140_H						42089000.0
O15047	O15047	SETD1A	Histone-lysine N-methyltransferase SETD1A	sp|O15047|SET1A_HUMAN Histone-lysine N-methyltransferase SETD1A OS=Homo sapiens OX=9606 GN=SETD1A PE=1 SV=3						
O15067	O15067	PFAS	Phosphoribosylformylglycinamidine synthase	sp|O15067|PUR4_HUMAN Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4				151360000.0	116070000.0	129470000.0
O15078-2;O15078	O15078-2;O15078	CEP290	Centrosomal protein of 290 kDa	sp|O15078-2|CE290_HUMAN Isoform 2 of Centrosomal protein of 290 kDa OS=Homo sapiens OX=9606 GN=CEP290;sp|O15078|CE290_HUMAN Centrosomal protein of 290 kDa OS=Homo sapiens OX=9606 GN=CEP290 PE=1 SV=2				5057300.0		
O15121	O15121	DEGS1	Sphingolipid delta(4)-desaturase DES1	sp|O15121|DEGS1_HUMAN Sphingolipid delta(4)-desaturase DES1 OS=Homo sapiens OX=9606 GN=DEGS1 PE=1 SV=1						8633100.0
O15126;O15126-2	O15126;O15126-2	SCAMP1	Secretory carrier-associated membrane protein 1	sp|O15126|SCAM1_HUMAN Secretory carrier-associated membrane protein 1 OS=Homo sapiens OX=9606 GN=SCAMP1 PE=1 SV=2;sp|O15126-2|SCAM1_HUMAN Isoform 2 of Secretory carrier-associated membrane protein 1 OS=Homo sapiens OX=9606 GN=SCAMP1						
O15143	O15143	ARPC1B	Actin-related protein 2/3 complex subunit 1B	sp|O15143|ARC1B_HUMAN Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3				84691000.0		74401000.0
O15144	O15144	ARPC2	Actin-related protein 2/3 complex subunit 2	sp|O15144|ARPC2_HUMAN Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1				98473000.0	105270000.0	95332000.0
O15145	O15145	ARPC3	Actin-related protein 2/3 complex subunit 3	sp|O15145|ARPC3_HUMAN Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3				60534000.0	65269000.0	69626000.0
O15160-2;O15160	O15160-2;O15160	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	sp|O15160-2|RPAC1_HUMAN Isoform 2 of DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C;sp|O15160|RPAC1_HUMAN DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C PE=1 SV=1						
O15173;O15173-2	O15173;O15173-2	PGRMC2	Membrane-associated progesterone receptor component 2	sp|O15173|PGRC2_HUMAN Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1;sp|O15173-2|PGRC2_HUMAN Isoform 2 of Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2				51580000.0		
O15212	O15212	PFDN6	Prefoldin subunit 6	sp|O15212|PFD6_HUMAN Prefoldin subunit 6 OS=Homo sapiens OX=9606 GN=PFDN6 PE=1 SV=1						
O15213	O15213	WDR46	WD repeat-containing protein 46	sp|O15213|WDR46_HUMAN WD repeat-containing protein 46 OS=Homo sapiens OX=9606 GN=WDR46 PE=1 SV=3				28433000.0		
O15226;O15226-2	O15226;O15226-2	NKRF	NF-kappa-B-repressing factor	sp|O15226|NKRF_HUMAN NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF PE=1 SV=2;sp|O15226-2|NKRF_HUMAN Isoform 2 of NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF						
O15230-2;O15230	O15230-2;O15230	LAMA5	Laminin subunit alpha-5	sp|O15230-2|LAMA5_HUMAN Isoform 2 of Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5;sp|O15230|LAMA5_HUMAN Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8						
O15258	O15258	RER1	Protein RER1	sp|O15258|RER1_HUMAN Protein RER1 OS=Homo sapiens OX=9606 GN=RER1 PE=1 SV=1						14453000.0
O15260;O15260-2;O15260-3	O15260;O15260-2;O15260-3	SURF4	Surfeit locus protein 4	sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3;sp|O15260-2|SURF4_HUMAN Isoform 2 of Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4;sp|O15260-3|SURF4_HUMAN Isoform 3 of Surfeit locus protein 4 OS=Homo sapi						
O15269	O15269	SPTLC1	Serine palmitoyltransferase 1	sp|O15269|SPTC1_HUMAN Serine palmitoyltransferase 1 OS=Homo sapiens OX=9606 GN=SPTLC1 PE=1 SV=1						
O15294;O15294-2;O15294-3	O15294;O15294-2;O15294-3	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	sp|O15294|OGT1_HUMAN UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens OX=9606 GN=OGT PE=1 SV=3;sp|O15294-2|OGT1_HUMAN Isoform 2 of UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subu						
O15305;O15305-2;Q92871	O15305;O15305-2	PMM2	Phosphomannomutase 2	sp|O15305|PMM2_HUMAN Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1;sp|O15305-2|PMM2_HUMAN Isoform 2 of Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2						
O15347	O15347	HMGB3	High mobility group protein B3	sp|O15347|HMGB3_HUMAN High mobility group protein B3 OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=4						
O15355	O15355	PPM1G	Protein phosphatase 1G	sp|O15355|PPM1G_HUMAN Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1				195750000.0	210490000.0	175860000.0
O15357	O15357	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	sp|O15357|SHIP2_HUMAN Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Homo sapiens OX=9606 GN=INPPL1 PE=1 SV=2						
O15371-2;O15371-3;O15371	O15371-2;O15371-3;O15371	EIF3D	Eukaryotic translation initiation factor 3 subunit D	sp|O15371-2|EIF3D_HUMAN Isoform 2 of Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D;sp|O15371-3|EIF3D_HUMAN Isoform 3 of Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D;sp|O15371|				103900000.0		149120000.0
O15372	O15372	EIF3H	Eukaryotic translation initiation factor 3 subunit H	sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1				88992000.0	91950000.0	61870000.0
O15381;O15381-2;O15381-5;O15381-3;O15381-4	O15381;O15381-2;O15381-5;O15381-3;O15381-4	NVL	Nuclear valosin-containing protein-like	sp|O15381|NVL_HUMAN Nuclear valosin-containing protein-like OS=Homo sapiens OX=9606 GN=NVL PE=1 SV=1;sp|O15381-2|NVL_HUMAN Isoform 2 of Nuclear valosin-containing protein-like OS=Homo sapiens OX=9606 GN=NVL;sp|O15381-5|NVL_HUMAN Isoform 5 of Nuclear valosi				14625000.0	19649000.0	
O15397	O15397	IPO8	Importin-8	sp|O15397|IPO8_HUMAN Importin-8 OS=Homo sapiens OX=9606 GN=IPO8 PE=1 SV=2						
O15400-2;O15400	O15400-2;O15400	STX7	Syntaxin-7	sp|O15400-2|STX7_HUMAN Isoform 2 of Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7;sp|O15400|STX7_HUMAN Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7 PE=1 SV=4						
O94900;O15405-2;O15405;O94842-3;O94842-2;O94842	O94900;O15405-2;O15405;O94842-3;O94842-2;O94842	TOX;TOX3;TOX4	Thymocyte selection-associated high mobility group box protein TOX;TOX high mobility group box family member 3;TOX high mobility group box family member 4	sp|O94900|TOX_HUMAN Thymocyte selection-associated high mobility group box protein TOX OS=Homo sapiens OX=9606 GN=TOX PE=2 SV=3;sp|O15405-2|TOX3_HUMAN Isoform 2 of TOX high mobility group box family member 3 OS=Homo sapiens OX=9606 GN=TOX3;sp|O15405|TOX3_H						
O15427	O15427	SLC16A3	Monocarboxylate transporter 4	sp|O15427|MOT4_HUMAN Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1				78733000.0	68856000.0	85263000.0
O15439-2;O15439	O15439-2;O15439	ABCC4	Multidrug resistance-associated protein 4	sp|O15439-2|MRP4_HUMAN Isoform 2 of Multidrug resistance-associated protein 4 OS=Homo sapiens OX=9606 GN=ABCC4;sp|O15439|MRP4_HUMAN Multidrug resistance-associated protein 4 OS=Homo sapiens OX=9606 GN=ABCC4 PE=1 SV=3						
O15460-2;O15460	O15460-2;O15460	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	sp|O15460-2|P4HA2_HUMAN Isoform IIa of Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2;sp|O15460|P4HA2_HUMAN Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2 PE=1 SV=1						
O15479	O15479	MAGEB2	Melanoma-associated antigen B2	sp|O15479|MAGB2_HUMAN Melanoma-associated antigen B2 OS=Homo sapiens OX=9606 GN=MAGEB2 PE=1 SV=3						
O15511;O15511-2	O15511;O15511-2	ARPC5	Actin-related protein 2/3 complex subunit 5	sp|O15511|ARPC5_HUMAN Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens OX=9606 GN=ARPC5 PE=1 SV=3;sp|O15511-2|ARPC5_HUMAN Isoform 2 of Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens OX=9606 GN=ARPC5						
O15533-2;O15533;O15533-3;O15533-4	O15533-2;O15533;O15533-3;O15533-4	TAPBP	Tapasin	sp|O15533-2|TPSN_HUMAN Isoform 2 of Tapasin OS=Homo sapiens OX=9606 GN=TAPBP;sp|O15533|TPSN_HUMAN Tapasin OS=Homo sapiens OX=9606 GN=TAPBP PE=1 SV=1;sp|O15533-3|TPSN_HUMAN Isoform 3 of Tapasin OS=Homo sapiens OX=9606 GN=TAPBP;sp|O15533-4|TPSN_HUMAN Isoform						
O15541	O15541	RNF113A	RING finger protein 113A	sp|O15541|R113A_HUMAN E3 ubiquitin-protein ligase RNF113A OS=Homo sapiens OX=9606 GN=RNF113A PE=1 SV=1						
O43143	O43143	DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2				244520000.0	250780000.0	328230000.0
O43148;O43148-2	O43148;O43148-2	RNMT	mRNA cap guanine-N7 methyltransferase	sp|O43148|MCES_HUMAN mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1;sp|O43148-2|MCES_HUMAN Isoform 2 of mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT						11671000.0
O43159	O43159	RRP8	Ribosomal RNA-processing protein 8	sp|O43159|RRP8_HUMAN Ribosomal RNA-processing protein 8 OS=Homo sapiens OX=9606 GN=RRP8 PE=1 SV=2						
O43169	O43169	CYB5B	Cytochrome b5 type B	sp|O43169|CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3				57455000.0	57284000.0	64013000.0
O43172-2;O43172	O43172-2;O43172	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	sp|O43172-2|PRP4_HUMAN Isoform 2 of U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4;sp|O43172|PRP4_HUMAN U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2						
O43175	O43175	PHGDH	D-3-phosphoglycerate dehydrogenase	sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4				2091800000.0	2201500000.0	1996800000.0
O43237-2;O43237	O43237-2;O43237	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	sp|O43237-2|DC1L2_HUMAN Isoform 2 of Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2;sp|O43237|DC1L2_HUMAN Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1				15104000.0		
O43242;O43242-2	O43242;O43242-2	PSMD3	26S proteasome non-ATPase regulatory subunit 3	sp|O43242|PSMD3_HUMAN 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2;sp|O43242-2|PSMD3_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3				134680000.0	122700000.0	134420000.0
O43251-8;O43251;O43251-6;Q9NWB1-2;O43251-7;Q9NWB1;Q9NWB1-5;Q9NWB1-4;O43251-2;O43251-10;O43251-5;O43251-4;Q9NWB1-3;O43251-9;A6NFN3-2;O43251-3;A6NFN3	O43251-8;O43251;O43251-6;Q9NWB1-2;O43251-7;Q9NWB1;Q9NWB1-5;Q9NWB1-4;O43251-2;O43251-10;O43251-5;O43251-4;Q9NWB1-3;O43251-9;A6NFN3-2;O43251-3;A6NFN3	RBFOX2;RBFOX1;RBFOX3	RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1;RNA binding protein fox-1 homolog 3	sp|O43251-8|RFOX2_HUMAN Isoform 8 of RNA binding protein fox-1 homolog 2 OS=Homo sapiens OX=9606 GN=RBFOX2;sp|O43251|RFOX2_HUMAN RNA binding protein fox-1 homolog 2 OS=Homo sapiens OX=9606 GN=RBFOX2 PE=1 SV=3;sp|O43251-6|RFOX2_HUMAN Isoform 6 of RNA bindin						1215300.0
O43252	O43252	PAPSS1	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	sp|O43252|PAPS1_HUMAN Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1 OS=Homo sapiens OX=9606 GN=PAPSS1 PE=1 SV=2						14891000.0
O43264-2;O43264	O43264-2;O43264	ZW10	Centromere/kinetochore protein zw10 homolog	sp|O43264-2|ZW10_HUMAN Isoform 2 of Centromere/kinetochore protein zw10 homolog OS=Homo sapiens OX=9606 GN=ZW10;sp|O43264|ZW10_HUMAN Centromere/kinetochore protein zw10 homolog OS=Homo sapiens OX=9606 GN=ZW10 PE=1 SV=3						
O43290	O43290	SART1	U4/U6.U5 tri-snRNP-associated protein 1	sp|O43290|SNUT1_HUMAN U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens OX=9606 GN=SART1 PE=1 SV=1				18850000.0	19852000.0	22016000.0
O43324-2;O43324	O43324-2;O43324	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	sp|O43324-2|MCA3_HUMAN Isoform 2 of Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1;sp|O43324|MCA3_HUMAN Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1				74493000.0	82157000.0	77970000.0
O43390;O43390-2;O43390-3;O43390-4	O43390;O43390-2;O43390-3;O43390-4	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	sp|O43390|HNRPR_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1;sp|O43390-2|HNRPR_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR;sp|O43390-3|HNRPR_HUMAN Isoform 3 o				331950000.0	374010000.0	287650000.0
O43395;O43395-3	O43395	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	sp|O43395|PRPF3_HUMAN U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2				32402000.0		37192000.0
O43396	O43396	TXNL1	Thioredoxin-like protein 1	sp|O43396|TXNL1_HUMAN Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3				75993000.0	83549000.0	83067000.0
O43399;O43399-5;O43399-7	O43399;O43399-5;O43399-7	TPD52L2	Tumor protein D54	sp|O43399|TPD54_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2;sp|O43399-5|TPD54_HUMAN Isoform 5 of Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2;sp|O43399-7|TPD54_HUMAN Isoform 7 of Tumor protein D54 OS=Homo sapiens OX=9606 GN				66330000.0		69893000.0
O43447;O43447-2	O43447;O43447-2	PPIH	Peptidyl-prolyl cis-trans isomerase H	sp|O43447|PPIH_HUMAN Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens OX=9606 GN=PPIH PE=1 SV=1;sp|O43447-2|PPIH_HUMAN Isoform 2 of Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens OX=9606 GN=PPIH						
O43488;Q8NHP1;Q8NHP1-3	O43488;Q8NHP1	AKR7A2;AKR7L	Aflatoxin B1 aldehyde reductase member 2;Aflatoxin B1 aldehyde reductase member 4	sp|O43488|ARK72_HUMAN Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3;sp|Q8NHP1|ARK74_HUMAN Aflatoxin B1 aldehyde reductase member 4 OS=Homo sapiens OX=9606 GN=AKR7L PE=2 SV=7						24844000.0
O43491;O43491-4;O43491-3;O43491-2	O43491;O43491-4;O43491-3;O43491-2	EPB41L2	Band 4.1-like protein 2	sp|O43491|E41L2_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1;sp|O43491-4|E41L2_HUMAN Isoform 4 of Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2;sp|O43491-3|E41L2_HUMAN Isoform 3 of Band 4.1-like protein 2 OS=Homo 				55395000.0		
O43493-4;O43493;O43493-5;O43493-3;O43493-7;O43493-6	O43493-4;O43493;O43493-5;O43493-3;O43493-7;O43493-6	TGOLN2	Trans-Golgi network integral membrane protein 2	sp|O43493-4|TGON2_HUMAN Isoform 4 of Trans-Golgi network integral membrane protein 2 OS=Homo sapiens OX=9606 GN=TGOLN2;sp|O43493|TGON2_HUMAN Trans-Golgi network integral membrane protein 2 OS=Homo sapiens OX=9606 GN=TGOLN2 PE=1 SV=4;sp|O43493-5|TGON2_HUMAN						
O43583	O43583	DENR	Density-regulated protein	sp|O43583|DENR_HUMAN Density-regulated protein OS=Homo sapiens OX=9606 GN=DENR PE=1 SV=2				82380000.0	63140000.0	42667000.0
O43592	O43592	XPOT	Exportin-T	sp|O43592|XPOT_HUMAN Exportin-T OS=Homo sapiens OX=9606 GN=XPOT PE=1 SV=2						
O43598;O43598-2	O43598;O43598-2	DNPH1	2-deoxynucleoside 5-phosphate N-hydrolase 1	sp|O43598|DNPH1_HUMAN 2-deoxynucleoside 5-phosphate N-hydrolase 1 OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1;sp|O43598-2|DNPH1_HUMAN Isoform 2 of 2-deoxynucleoside 5-phosphate N-hydrolase 1 OS=Homo sapiens OX=9606 GN=DNPH1						
O43615	O43615	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	sp|O43615|TIM44_HUMAN Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2				53107000.0	71988000.0	61524000.0
O43617-2;O43617	O43617-2;O43617	TRAPPC3	Trafficking protein particle complex subunit 3	sp|O43617-2|TPPC3_HUMAN Isoform 2 of Trafficking protein particle complex subunit 3 OS=Homo sapiens OX=9606 GN=TRAPPC3;sp|O43617|TPPC3_HUMAN Trafficking protein particle complex subunit 3 OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1						
O43633	O43633	CHMP2A	Charged multivesicular body protein 2a	sp|O43633|CHM2A_HUMAN Charged multivesicular body protein 2a OS=Homo sapiens OX=9606 GN=CHMP2A PE=1 SV=1						
O43665-2;O43665-1;O43665	O43665-2;O43665-1;O43665	RGS10	Regulator of G-protein signaling 10	sp|O43665-2|RGS10_HUMAN Isoform 2 of Regulator of G-protein signaling 10 OS=Homo sapiens OX=9606 GN=RGS10;sp|O43665-1|RGS10_HUMAN Isoform 1 of Regulator of G-protein signaling 10 OS=Homo sapiens OX=9606 GN=RGS10;sp|O43665|RGS10_HUMAN Regulator of G-protein						4600300.0
O43670-2;O43670;O43670-4;O43670-3	O43670-2;O43670;O43670-4;O43670-3	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	sp|O43670-2|ZN207_HUMAN Isoform 2 of BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207;sp|O43670|ZN207_HUMAN BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1;s						
O43674-2;O43674	O43674-2;O43674	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	sp|O43674-2|NDUB5_HUMAN Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFB5;sp|O43674|NDUB5_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Homo sapie				14414000.0		
O43678	O43678	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	sp|O43678|NDUA2_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens OX=9606 GN=NDUFA2 PE=1 SV=3						
